	KK_ans	KK_time		R1_RR_ans	R1_RR_time		R1_HC_ans	R1_HC_time		R1_SA_ans	R1_SA_time		R2_RR_ans	R2_RR_time		R2_HC_ans	R2_HC_time		R2_SA_ans	R2_SA_time
	229226	0.000708103179932		2816405844	0.0690670013428		739193708	0.0307610034943		2561314908	0.0327939987183		660	2.31339907646		6704	2.28081297874		3478	2.22059607506
	194876	0.00196814537048		750008290	0.0776948928833		756993706	0.0306360721588		4915241778	0.0322670936584		5464	2.30615401268		2932	2.30709195137		642	2.241355896
	16722	0.000598907470703		4168913384	0.062952041626		1516968008	0.0311970710754		10866071594	0.0321769714355		116	2.29732894897		14406	2.26941514015		66	2.21764683723
	555880	0.000597953796387		3109280290	0.0630230903625		33614508	0.0308611392975		8317866310	0.0321128368378		2686	2.28193211555		150	2.21967291832		444	2.21394109726
	83118	0.000598907470703		330474608	0.0628430843353		283867114	0.0310869216919		4699256156	0.0322840213776		2432	2.29972791672		2108	2.15028595924		3218	2.21149802208
	786710	0.000596046447754		4455871056	0.0622608661652		82920162	0.0335841178894		96468390	0.0322840213776		834	2.28686094284		72	2.18472099304		2294	2.2310500145
	464228	0.00062108039856		3862986690	0.0627210140228		787869768	0.0309529304504		3931747384	0.0331909656525		5334	2.29982686043		3666	2.22890400887		434	2.22378110886
	501557	0.000594854354858		2490957073	0.0629570484161		1176789307	0.0308210849762		6385048391	0.0323960781097		791	2.30734205246		5511	2.2730679512		5825	2.23587799072
	84974	0.000607013702393		5166248898	0.0693459510803		1527025798	0.0308380126953		644540588	0.0321791172028		944	2.29990696907		9512	2.15384292603		846	2.23357820511
	426572	0.000587940216064		2717778108	0.0625269412994		4522350532	0.0308010578156		671081726	0.0321569442749		374	2.29171013832		2460	2.23928499222		12256	2.27516102791
	250107	0.000597953796387		3507855067	0.0627520084381		184263517	0.0307230949402		2193268243	0.0321757793427		303	2.2925131321		10223	2.20557689667		2367	2.27368998528
	191298	0.000627994537354		350366350	0.0629510879517		1294473584	0.0311169624329		4510946526	0.0322730541229		4538	2.37643003464		6348	2.16506314278		308	2.24343204498
	1080644	0.00059700012207		5554424940	0.0627930164337		704326576	0.0309720039368		742019826	0.0322239398956		1632	2.28913998604		376	2.30926299095		424	2.23127913475
